1	2	953	328	256	256
1	1	1905	656	256	256
1	0	3810	1312	256	256
2	0	5017	2205	256	256
2	1	2509	1103	256	256
2	2	1255	552	256	256
260	2	1085	280	256	256
261	1	2170	559	256	256
261	3	543	140	543	140
4	0	9099	1758	256	256
4	1	4550	879	256	256
4	2	2275	440	256	256
5	3	1061	242	256	256
5	2	2122	484	256	256
5	1	4243	967	256	256
6	0	9360	2239	256	256
6	1	4680	1120	256	256
6	2	2340	560	256	256
6	3	1170	280	256	256
4	3	1138	220	256	256
5	0	8486	1933	256	256
42	3	427	224	256	256
42	4	214	112	214	112
41	4	192	112	192	112
42	1	1705	894	256	256
33	1	6604	935	256	256
32	4	810	105	810	105
32	3	1619	210	256	256
33	2	3302	468	256	256
33	3	1651	234	256	256
33	4	826	117	826	117
34	3	875	177	256	256
34	2	1749	353	256	256
34	1	3497	705	256	256
35	2	2618	384	256	256
35	1	5236	767	256	256
34	4	438	89	438	89
35	3	1309	192	256	256
35	4	655	96	655	96
36	1	5739	795	256	256
36	2	2870	398	256	256
36	3	1435	199	256	256
36	4	718	100	718	100
37	1	2836	576	256	256
37	2	1418	288	256	256
37	3	709	144	256	256
37	4	355	72	355	72
38	1	964	631	256	256
38	2	482	316	256	256
38	3	241	158	241	158
38	4	121	79	121	79
39	1	1228	817	256	256
39	4	154	103	154	103
39	3	307	205	256	256
39	2	614	409	256	256
40	3	369	204	256	256
40	2	737	407	256	256
40	4	185	102	185	102
41	1	1532	895	256	256
41	2	766	448	256	256
3	0	3654	1641	256	256
3	1	1827	821	256	256
3	2	914	411	256	256
3	3	457	206	256	256
31	1	5803	525	256	256
31	2	2902	263	256	256
31	3	1451	132	256	256
32	2	3237	420	256	256
32	1	6473	839	256	256
31	4	726	66	726	66
85	2	7794	1210	256	256
39	0	2456	1634	256	256
40	0	2947	1628	256	256
32	0	12945	1677	256	256
10	1	1083	857	256	256
46	0	6251	1866	256	256
40	1	1474	814	256	256
41	3	383	224	256	256
42	2	853	447	256	256
25	2	3303	370	256	256
41	0	3064	1790	256	256
8	2	443	353	256	256
8	3	222	177	222	177
9	1	1007	832	256	256
51	0	10142	1923	256	256
50	0	9241	2006	256	256
49	0	8236	1962	256	256
28	0	13069	1777	256	256
24	1	6592	958	256	256
266	5	571	876	256	256
45	0	6300	1938	256	256
29	0	13209	1796	256	256
30	0	13367	1898	256	256
52	0	13380	1870	256	256
85	1	15587	2420	256	256
84	5	968	151	968	151
84	4	1935	302	256	256
22	3	294	234	256	256
10	2	542	429	256	256
266	6	286	438	256	256
9	3	252	208	252	208
31	0	11606	1050	256	256
84	3	3870	604	256	256
19	2	498	457	256	256
33	0	13208	1869	256	256
27	0	11268	1289	256	256
11	1	1078	886	256	256
35	0	10471	1534	256	256
59	0	1486	1832	256	256
29	3	1652	225	256	256
29	2	3303	449	256	256
84	2	7739	1207	256	256
84	1	15478	2414	256	256
83	5	973	153	973	153
20	2	551	470	256	256
25	0	13210	1477	256	256
15	1	1107	940	256	256
83	4	1946	305	256	256
157	2	11068	2526	256	256
83	3	3891	610	256	256
36	0	11477	1590	256	256
83	2	7782	1219	256	256
13	3	272	208	256	256
83	1	15564	2437	256	256
14	2	561	470	256	256
19	0	1989	1827	256	256
20	0	2204	1880	256	256
29	4	826	113	826	113
82	5	973	147	973	147
82	4	1945	294	256	256
23	0	1937	1956	256	256
22	0	2346	1872	256	256
82	3	3889	588	256	256
265	4	870	150	870	150
25	3	1652	185	256	256
16	0	2170	1880	256	256
18	0	2167	1870	256	256
48	0	7945	1901	256	256
58	0	1119	1901	256	256
44	0	7152	1945	256	256
20	3	276	235	256	256
82	2	7777	1175	256	256
10	3	271	215	256	256
24	2	3296	479	256	256
26	2	3237	418	256	256
82	1	15553	2350	256	256
81	5	971	149	971	149
26	1	6474	835	256	256
25	4	826	93	826	93
9	2	504	416	256	256
23	1	969	978	256	256
261	0	4339	1117	256	256
261	2	1085	280	256	256
25	1	6605	739	256	256
24	4	824	120	824	120
24	3	1648	240	256	256
8	1	885	705	256	256
260	0	4339	1117	256	256
47	0	5174	1877	256	256
24	0	13183	1915	256	256
19	3	249	229	249	229
265	3	1739	300	256	256
20	1	1102	940	256	256
81	4	1942	297	256	256
264	0	13693	2024	256	256
23	3	243	245	243	245
23	2	485	489	256	256
264	1	6847	1012	256	256
43	0	3734	1996	256	256
42	0	3410	1788	256	256
18	2	542	468	256	256
38	0	1928	1262	256	256
16	2	543	470	256	256
81	3	3883	593	256	256
81	2	7765	1185	256	256
26	0	12948	1669	256	256
