xref	TAO:0000000	1
xref	ZFIN:ZDB-ANAT-010921-404	1
is_a	ZFA:0001105	1
end	ZFS:0000024	1
start	ZFS:0000020	1
xref	TAO:0000001	1
xref	ZFIN:ZDB-ANAT-010921-406	1
is_a	ZFA:0001105	1
develops_from	ZFA:0000023	1
end	ZFS:0000029	1
part_of	ZFA:0000077	1
start	ZFS:0000023	1
xref	TAO:0000003	1
xref	ZFIN:ZDB-ANAT-010921-408	1
is_a	ZFA:0009000	1
end	ZFS:0000029	1
part_of	ZFA:0000279	1
start	ZFS:0000022	1
xref	TAO:0000004	1
xref	ZFIN:ZDB-ANAT-010921-409	1
is_a	ZFA:0001477	1
end	ZFS:0000022	1
part_of	ZFA:0001378	1
start	ZFS:0000020	1
xref	TAO:0000005	1
xref	ZFIN:ZDB-ANAT-010921-411	1
is_a	ZFA:0005314	1
end	ZFS:0000044	1
part_of	ZFA:0001079	1
start	ZFS:0000028	1
xref	TAO:0000006	1
xref	ZFIN:ZDB-ANAT-010921-413	1
is_a	ZFA:0001308	1
end	ZFS:0000036	1
part_of	ZFA:0000084	1
start	ZFS:0000025	1
xref	TAO:0000007	1
xref	ZFIN:ZDB-ANAT-010921-414	1
is_a	ZFA:0001487	1
end	ZFS:0000044	1
part_of	ZFA:0005023	1
start	ZFS:0000028	1
xref	TAO:0000008	1
xref	ZFIN:ZDB-ANAT-081013-36	1
xref	ZFIN:ZDB-ANAT-010921-415	1
is_a	ZFA:0001490	1
develops_from	ZFA:0001135	1
end	ZFS:0000044	1
part_of	ZFA:0000012	1
start	ZFS:0000025	1
xref	TAO:0000009	1
xref	ZFIN:ZDB-ANAT-010921-416	1
is_a	ZFA:0001490	1
develops_from	ZFA:0001719	1
end	ZFS:0000044	1
part_of	ZFA:0000114	1
start	ZFS:0000032	1
xref	TAO:0000010	1
xref	ZFIN:ZDB-ANAT-010921-417	1
is_a	ZFA:0001439	1
end	ZFS:0000044	1
start	ZFS:0000024	1
xref	TAO:0000011	1
xref	ZFIN:ZDB-ANAT-010921-418	1
is_a	ZFA:0000005	1
end	ZFS:0000044	1
part_of	ZFA:0005037	1
part_of	ZFA:0005295	1
start	ZFS:0000028	1
xref	TAO:0000012	1
xref	ZFIN:ZDB-ANAT-010921-420	1
is_a	ZFA:0000396	1
develops_from	ZFA:0000063	1
end	ZFS:0000044	1
start	ZFS:0000022	1
xref	TAO:0000013	1
xref	ZFIN:ZDB-ANAT-010921-422	1
